Строка выручки, млн ₽;2027;2028;2029;2030;2031;2032;2033;2034;2035;2036
Комиссия за выпуск;0;562;2632;6692;13919;17765;21555;25620;29975;34638
Сервисная комиссия;0;337;1917;5932;14283;24942;37537;51330;65300;77731
Платформенный сбор;0;169;790;2007;4176;5330;6466;7686;8992;10391
Лицензии B2B2G;0;56;369;1204;2784;3908;5173;6661;8393;10391
Технологические интеграции;0;50;180;350;520;650;780;900;1020;1150
Оценка и страхование (нетто);0;135;632;1606;3340;4264;5173;6149;7194;8313
ИТОГО выручка;0;1310;6519;17791;39021;56858;76685;98345;120874;142615
Справочно: валовые сборы;0;2075;10099;26892;57950;81019;106000;133188;161640;189722
