Показатель, млн ₽;2027;2028;2029;2030;2031;2032;2033;2034;2035;2036
EBITDA;-720;-195;3560;12012;28195;41766;56856;73339;90549;107112
Налог;-0;-0;-585;-2943;-6925;-10232;-13947;-18014;-22250;-26333
Прирост оборотного капитала;-0;-65;-260;-564;-1061;-892;-991;-1083;-1126;-1087
CapEx;-300;-420;-400;-550;-1800;-2400;-1600;-1800;-2300;-2000
FCF;-1020;-680;2315;7955;18409;28242;40317;52442;64873;77692
FCF кумулятивный;-1020;-1701;614;8569;26978;55220;95537;147979;212852;290543
Дисконт-фактор;0,7717;0,5956;0,4596;0,3547;0,2737;0,2112;0,1630;0,1258;0,0971;0,0749
PV FCF;-787;-405;1064;2822;5039;5966;6573;6598;6298;5821
